# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.6428886521e+02    1.2629445998e+01    1.9991495632e+05    1.9968000000e+05    0.0000000000e+00   -3.6413068345e+02    9.8488719420e-01    9.7656750801e-01
         1   -3.6438490180e+02    1.2696936190e+01    2.3128670765e+05    1.9968000000e+05    0.0000000000e+00   -3.5693642411e+02    9.8485442006e-01    9.9466145833e-01
         2   -3.6446039672e+02    1.2723636539e+01    2.3077387684e+05    2.3128300000e+05    1.7250000000e+00   -3.6453182778e+02    9.8489400160e-01    9.7525542301e-01
         3   -3.6451127451e+02    1.2702392080e+01    2.3028931455e+05    2.3083600000e+05    1.0916666667e+00   -3.6460538814e+02    9.8487656455e-01    9.7550642014e-01
         4   -3.6454628342e+02    1.2636962627e+01    2.2991788392e+05    2.3048900000e+05    1.0301282051e+00   -3.6465476156e+02    9.8485184407e-01    9.7532637132e-01
         5   -3.6458136920e+02    1.2706169101e+01    2.2937689535e+05    2.2995000000e+05    1.0307692308e+00   -3.6468742923e+02    9.8487407176e-01    9.7481191563e-01
         6   -3.6462708535e+02    1.2816271211e+01    2.2889518836e+05    2.2942100000e+05    1.0653846154e+00   -3.6472021185e+02    9.8487142953e-01    9.7507638795e-01
         7   -3.6466219759e+02    1.2829913418e+01    2.2826625735e+05    2.2881100000e+05    1.0538461538e+00   -3.6476326560e+02    9.8486542791e-01    9.7495312725e-01
         8   -3.6468567373e+02    1.2675988857e+01    2.2776032234e+05    2.2830700000e+05    1.0807692308e+00   -3.6479617272e+02    9.8480427485e-01    9.7476205285e-01
         9   -3.6471597799e+02    1.2793420583e+01    2.2717750649e+05    2.2770100000e+05    1.0282051282e+00   -3.6481699101e+02    9.8485083763e-01    9.7535803532e-01
        10   -3.6473562416e+02    1.2697699084e+01    2.2675394791e+05    2.2728600000e+05    1.0647435897e+00   -3.6484547104e+02    9.8483990950e-01    9.7486426793e-01
        11   -3.6476386365e+02    1.2657797744e+01    2.2607922481e+05    2.2658300000e+05    1.0608974359e+00   -3.6486201940e+02    9.8483229236e-01    9.7509963236e-01
        12   -3.6478290091e+02    1.2690636000e+01    2.2558485920e+05    2.2610000000e+05    1.0615384615e+00   -3.6488812494e+02    9.8484805929e-01    9.7570101725e-01
        13   -3.6479373616e+02    1.2850571612e+01    2.2521379975e+05    2.2574200000e+05    1.0532051282e+00   -3.6490557758e+02    9.8489418964e-01    9.7451958430e-01
        14   -3.6481948101e+02    1.2801927713e+01    2.2469352440e+05    2.2516800000e+05    1.0307692308e+00   -3.6491386686e+02    9.8484241608e-01    9.7428586655e-01
        15   -3.6483518939e+02    1.2752464798e+01    2.2404780697e+05    2.2452400000e+05    1.0628205128e+00   -3.6493674753e+02    9.8482927982e-01    9.7459959737e-01
        16   -3.6485173984e+02    1.2741351766e+01    2.2348448238e+05    2.2394600000e+05    1.0647435897e+00   -3.6494987825e+02    9.8483982680e-01    9.7515919016e-01
        17   -3.6486418628e+02    1.2602001528e+01    2.2307754242e+05    2.2355100000e+05    1.0532051282e+00   -3.6496466333e+02    9.8485604305e-01    9.7470375887e-01
        18   -3.6487823979e+02    1.2639041367e+01    2.2254769759e+05    2.2299700000e+05    1.0679487179e+00   -3.6497462851e+02    9.8486278415e-01    9.7467678937e-01
        19   -3.6488723674e+02    1.2657167023e+01    2.2202529522e+05    2.2247500000e+05    1.0410256410e+00   -3.6498633844e+02    9.8480483196e-01    9.7477019890e-01
        20   -3.6490627463e+02    1.2865444199e+01    2.2152217507e+05    2.2194300000e+05    1.0967948718e+00   -3.6499294124e+02    9.8482551272e-01    9.7491247753e-01
        21   -3.6490306758e+02    1.2609526472e+01    2.2106192818e+05    2.2151700000e+05    1.0423076923e+00   -3.6501005788e+02    9.8478185684e-01    9.7501320440e-01
        22   -3.6491982884e+02    1.2810629386e+01    2.2061368158e+05    2.2101800000e+05    1.0512820513e+00   -3.6500459564e+02    9.8480123215e-01    9.7540924269e-01
        23   -3.6493684467e+02    1.2711313550e+01    2.2017481047e+05    2.2058100000e+05    1.0455128205e+00   -3.6501937773e+02    9.8480564127e-01    9.7541492694e-01
        24   -3.6493961137e+02    1.2739116784e+01    2.1999498718e+05    2.2041600000e+05    1.0064102564e+00   -3.6503564525e+02    9.8481749371e-01    9.7492468786e-01
        25   -3.6494091112e+02    1.2680993288e+01    2.1947463754e+05    2.1988800000e+05    9.8333333333e-01   -3.6503601361e+02    9.8481842022e-01    9.7441879502e-01
        26   -3.6494757364e+02    1.2676846110e+01    2.1876241465e+05    2.1914900000e+05    1.0185897436e+00   -3.6503394690e+02    9.8476349344e-01    9.7497592962e-01
        27   -3.6495577556e+02    1.2734676470e+01    2.1834436653e+05    2.1871600000e+05    1.0551282051e+00   -3.6503863163e+02    9.8488611223e-01    9.7498582637e-01
        28   -3.6497074562e+02    1.2749004663e+01    2.1790251411e+05    2.1825600000e+05    1.0551282051e+00   -3.6504472816e+02    9.8483192523e-01    9.7519426728e-01
