#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.6454480257e+02    1.3290565102e+05   -6.3843598517e+02    2.7389118259e+02   -1.2202782527e+01   -2.7083095150e+02   -3.9666838188e+02    4.1266130737e+01    2.2637640000e+06    2.9307930403e+01    9.9121720829e-01
         1   -3.6482162652e+02    1.3310753296e+05   -6.3893227852e+02    2.7411065201e+02   -1.2348628779e+01   -2.7083095150e+02   -3.9700379840e+02    4.1251100147e+01    2.2430290000e+06    2.8674246361e+01    9.9120575209e-01
         2   -3.6494103690e+02    1.3319467774e+05   -6.3920363627e+02    2.7426259937e+02   -1.2472518818e+01   -2.7083095150e+02   -3.9715096844e+02    4.1250802478e+01    2.1951300000e+06    2.8090650722e+01    9.9119371381e-01
         3   -3.6500406411e+02    1.3324069045e+05   -6.3941029797e+02    2.7440623385e+02   -1.2552147850e+01   -2.7083095150e+02   -3.9730185163e+02    4.1274653013e+01    2.1561690000e+06    2.7791704119e+01    9.9119589197e-01
         4   -3.6504382328e+02    1.3326967737e+05   -6.3954983472e+02    2.7450601144e+02   -1.2581596365e+01   -2.7083095150e+02   -3.9739454207e+02    4.1257255208e+01    2.1246040000e+06    2.7291924875e+01    9.9119990507e-01
         5   -3.6507248423e+02    1.3329061568e+05   -6.3960588075e+02    2.7453339652e+02   -1.2578138079e+01   -2.7083095150e+02   -3.9753253317e+02    4.1335741992e+01    2.1023560000e+06    2.6435878038e+01    9.9119587230e-01
         6   -3.6508483992e+02    1.3329962109e+05   -6.3975434204e+02    2.7466950212e+02   -1.2589513135e+01   -2.7083095150e+02   -3.9768181275e+02    4.1347935341e+01    2.0811920000e+06    2.6345737338e+01    9.9119140689e-01
         7   -3.6509203925e+02    1.3330484396e+05   -6.3982777683e+02    2.7473573757e+02   -1.2561609406e+01   -2.7083095150e+02   -3.9777277330e+02    4.1337557374e+01    2.0670600000e+06    2.6317442142e+01    9.9119135963e-01
         8   -3.6509875844e+02    1.3330976301e+05   -6.3990961153e+02    2.7481085309e+02   -1.2553420579e+01   -2.7083095150e+02   -3.9790918828e+02    4.1383948819e+01    2.0570870000e+06    2.6303739749e+01    9.9118471478e-01
         9   -3.6509847563e+02    1.3330956019e+05   -6.3999703138e+02    2.7489855575e+02   -1.2519535267e+01   -2.7083095150e+02   -3.9800493905e+02    4.1358394435e+01    2.0448480000e+06    2.6309444167e+01    9.9118850033e-01
