#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.6376934016e+02    1.3234057011e+05   -6.3527821947e+02    2.7150887931e+02   -1.2300783073e+01   -2.7083095112e+02   -3.9228633306e+02    4.0139847785e+01    1.9968000000e+05    2.2887340256e+00    3.1946621626e-01
         1   -3.6400323497e+02    1.3251100926e+05   -6.3711020850e+02    2.7310697354e+02   -1.2176555476e+01   -2.7083095112e+02   -3.9507181556e+02    4.0969113650e+01    1.9968000000e+05    2.3102367197e+00    3.1966207651e-01
         2   -3.6407695397e+02    1.3256454154e+05   -6.3778132183e+02    2.7370436786e+02   -1.2123475102e+01   -2.7083095112e+02   -3.9600387799e+02    4.1176982377e+01    1.9968000000e+05    2.3109486912e+00    3.1968467517e-01
         3   -3.6407092933e+02    1.3256021522e+05   -6.3796829329e+02    2.7389736396e+02   -1.2113136255e+01   -2.7083095112e+02   -3.9640721164e+02    4.1383005729e+01    1.9968000000e+05    2.3111453575e+00    3.1963868753e-01
         4   -3.6408724263e+02    1.3257210755e+05   -6.3812819168e+02    2.7404094905e+02   -1.2080172554e+01   -2.7083095112e+02   -3.9656685424e+02    4.1349786239e+01    1.9968000000e+05    2.3108008440e+00    3.1968906500e-01
         5   -3.6409269563e+02    1.3257595089e+05   -6.3802182154e+02    2.7392912591e+02   -1.2079676081e+01   -2.7083095112e+02   -3.9647690418e+02    4.1365709839e+01    1.9968000000e+05    2.3109881592e+00    3.1966291770e-01
         6   -3.6409965134e+02    1.3258114300e+05   -6.3812302301e+02    2.7402337167e+02   -1.2094936168e+01   -2.7083095112e+02   -3.9655215666e+02    4.1355020934e+01    1.9968000000e+05    2.3088205804e+00    3.1963767027e-01
         7   -3.6409583053e+02    1.3257838326e+05   -6.3808975825e+02    2.7399392773e+02   -1.2087521238e+01   -2.7083095112e+02   -3.9653402163e+02    4.1362735741e+01    1.9968000000e+05    2.3101526724e+00    3.1967671321e-01
         8   -3.6409374003e+02    1.3257697549e+05   -6.3810278083e+02    2.7400904080e+02   -1.2118451927e+01   -2.7083095112e+02   -3.9650200542e+02    4.1348627636e+01    1.9968000000e+05    2.3103934551e+00    3.1964640299e-01
         9   -3.6409999295e+02    1.3258146538e+05   -6.3806472091e+02    2.7396472796e+02   -1.2095582814e+01   -2.7083095112e+02   -3.9649787376e+02    4.1359686784e+01    1.9968000000e+05    2.3105561569e+00    3.1964378944e-01
        10   -3.6409913705e+02    1.3258073152e+05   -6.3813174202e+02    2.7403260496e+02   -1.2071037319e+01   -2.7083095112e+02   -3.9658975964e+02    4.1360006067e+01    1.9968000000e+05    2.3104334366e+00    3.1961953188e-01
        11   -3.6408836359e+02    1.3257299933e+05   -6.3810942104e+02    2.7402105745e+02   -1.2105021573e+01   -2.7083095112e+02   -3.9654562587e+02    4.1372177520e+01    1.9968000000e+05    2.3092609081e+00    3.1956773807e-01
        12   -3.6410286633e+02    1.3258359395e+05   -6.3810695419e+02    2.7400408786e+02   -1.2088873608e+01   -2.7083095112e+02   -3.9654431027e+02    4.1357180808e+01    1.9968000000e+05    2.3101842214e+00    3.1960574028e-01
        13   -3.6409899229e+02    1.3258062681e+05   -6.3815822315e+02    2.7405923086e+02   -1.2059872336e+01   -2.7083095112e+02   -3.9667694822e+02    4.1409548525e+01    1.9968000000e+05    2.3102310562e+00    3.1963073339e-01
        14   -3.6409094424e+02    1.3257480153e+05   -6.3821767230e+02    2.7412672806e+02   -1.2090718791e+01   -2.7083095112e+02   -3.9667744983e+02    4.1381447447e+01    1.9968000000e+05    2.3099274589e+00    3.1958891649e-01
        15   -3.6409321426e+02    1.3257648388e+05   -6.3810914957e+02    2.7401593532e+02   -1.2103705443e+01   -2.7083095112e+02   -3.9652677132e+02    4.1352278313e+01    1.9968000000e+05    2.3102372453e+00    3.1960554857e-01
        16   -3.6409259630e+02    1.3257604766e+05   -6.3808226277e+02    2.7398966647e+02   -1.2105442144e+01   -2.7083095112e+02   -3.9648572789e+02    4.1339858383e+01    1.9968000000e+05    2.3087065760e+00    3.1964546790e-01
        17   -3.6408427798e+02    1.3257003548e+05   -6.3815456117e+02    2.7407028319e+02   -1.2086004939e+01   -2.7083095112e+02   -3.9659281100e+02    4.1355205892e+01    1.9968000000e+05    2.3096741453e+00    3.1964971689e-01
        18   -3.6408446650e+02    1.3257006022e+05   -6.3808376617e+02    2.7399929967e+02   -1.2084340646e+01   -2.7083095112e+02   -3.9655853826e+02    4.1390063856e+01    1.9968000000e+05    2.3094324432e+00    3.1959232428e-01
        19   -3.6409752642e+02    1.3257978899e+05   -6.3810304763e+02    2.7400552121e+02   -1.2081716924e+01   -2.7083095112e+02   -3.9655425647e+02    4.1363876890e+01    1.9968000000e+05    2.3105015394e+00    3.1965265127e-01
