# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         1   -3.6433772699e+02    1.2629499520e+01    2.0013619238e+05    1.9968000000e+05    0.0000000000e+00   -3.6409752642e+02    9.8489973122e-01    9.7316706731e-01
         2   -3.6439630346e+02    1.2814817445e+01    2.0012438280e+05    2.0001600000e+05    1.4102564103e+00   -3.6433940827e+02    9.8487695062e-01    9.7613190945e-01
         3   -3.6445377154e+02    1.2724178394e+01    2.0031040464e+05    2.0020100000e+05    1.3794871795e+00   -3.6439890923e+02    9.8487338196e-01    9.7625386487e-01
         4   -3.6452247796e+02    1.2879459780e+01    2.0032404357e+05    2.0020300000e+05    1.3897435897e+00   -3.6445638731e+02    9.8486903589e-01    9.7647387901e-01
         5   -3.6456006161e+02    1.2688228569e+01    2.0037257994e+05    2.0031400000e+05    1.4038461538e+00   -3.6452564801e+02    9.8487193441e-01    9.7623231527e-01
         6   -3.6459692434e+02    1.2771691423e+01    2.0041117209e+05    2.0035400000e+05    1.4141025641e+00   -3.6456343133e+02    9.8487492530e-01    9.7664633599e-01
         7   -3.6463797380e+02    1.2789623447e+01    2.0055308965e+05    2.0049200000e+05    1.4743589744e+00   -3.6460098260e+02    9.8487331019e-01    9.7646788899e-01
         8   -3.6466061631e+02    1.2797362442e+01    2.0066464110e+05    2.0063900000e+05    1.4012820513e+00   -3.6464276499e+02    9.8486386544e-01    9.7646519371e-01
         9   -3.6468914961e+02    1.2721595850e+01    2.0071166617e+05    2.0068200000e+05    1.3628205128e+00   -3.6466562179e+02    9.8486210749e-01    9.7630081422e-01
        10   -3.6471047109e+02    1.2710969679e+01    2.0087155336e+05    2.0085100000e+05    1.4256410256e+00   -3.6469499686e+02    9.8486425592e-01    9.7629088230e-01
        11   -3.6473310445e+02    1.2663037461e+01    2.0108518744e+05    2.0106700000e+05    1.4628205128e+00   -3.6471739319e+02    9.8485639218e-01    9.7588863414e-01
        12   -3.6476481564e+02    1.2784829926e+01    2.0107974381e+05    2.0104100000e+05    1.4397435897e+00   -3.6473989723e+02    9.8485371133e-01    9.7657691715e-01
        13   -3.6478082812e+02    1.2662741696e+01    2.0120163126e+05    2.0119900000e+05    1.4115384615e+00   -3.6477239403e+02    9.8485651852e-01    9.7610823115e-01
        14   -3.6480807761e+02    1.2773872907e+01    2.0135642631e+05    2.0132900000e+05    1.3987179487e+00   -3.6478905242e+02    9.8485856095e-01    9.7629253610e-01
        15   -3.6482133148e+02    1.2708551555e+01    2.0140037570e+05    2.0141200000e+05    1.3641025641e+00   -3.6481671408e+02    9.8485491289e-01    9.7592000477e-01
        16   -3.6482979233e+02    1.2799555004e+01    2.0133361867e+05    2.0135800000e+05    1.3897435897e+00   -3.6482969981e+02    9.8485320601e-01    9.7672801677e-01
        17   -3.6484362849e+02    1.2666551516e+01    2.0151104616e+05    2.0152400000e+05    1.3897435897e+00   -3.6483898472e+02    9.8485102115e-01    9.7631547607e-01
        18   -3.6484725807e+02    1.2673681890e+01    2.0157023225e+05    2.0159800000e+05    1.3538461538e+00   -3.6485318802e+02    9.8485019323e-01    9.7561483745e-01
        19   -3.6486130253e+02    1.2716197665e+01    2.0151065904e+05    2.0151600000e+05    1.4128205128e+00   -3.6485641077e+02    9.8484993492e-01    9.7633934774e-01
        20   -3.6487342212e+02    1.2650998297e+01    2.0151439295e+05    2.0152800000e+05    1.3987179487e+00   -3.6487051477e+02    9.8484780385e-01    9.7562621571e-01
        21   -3.6488887261e+02    1.2661833529e+01    2.0134891130e+05    2.0135500000e+05    1.3910256410e+00   -3.6488177555e+02    9.8484609808e-01    9.7648928509e-01
        22   -3.6490446354e+02    1.2611584080e+01    2.0130714096e+05    2.0131200000e+05    1.4051282051e+00   -3.6489701247e+02    9.8484766674e-01    9.7606203306e-01
        23   -3.6490941146e+02    1.2763910129e+01    2.0126830132e+05    2.0129000000e+05    1.3987179487e+00   -3.6491249411e+02    9.8484639221e-01    9.7588553828e-01
        24   -3.6493125225e+02    1.2612938107e+01    2.0126940184e+05    2.0125200000e+05    1.4371794872e+00   -3.6491725322e+02    9.8484629997e-01    9.7558285135e-01
        25   -3.6493364839e+02    1.2786002699e+01    2.0124917345e+05    2.0127100000e+05    1.4064102564e+00   -3.6493918843e+02    9.8484670803e-01    9.7645959925e-01
        26   -3.6493889977e+02    1.2533467316e+01    2.0134595732e+05    2.0136400000e+05    1.4256410256e+00   -3.6494204652e+02    9.8484716091e-01    9.7654496335e-01
