# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.9664495132e+01    8.2038431928e-02    8.1926226288e+03    8.1920000000e+03    0.0000000000e+00   -1.9622472911e+01    9.9400625909e-01    9.9987792969e-01
         1   -1.9669715450e+01    1.2882580817e-01    8.2152748363e+03    8.1920000000e+03    0.0000000000e+00   -1.8278200770e+01    9.9404198114e-01    1.0000000000e+00
         2   -1.9672717725e+01    1.9103619204e-01    8.2189717164e+03    8.2190000000e+03    7.5000000000e-01   -1.9673005929e+01    9.9084639980e-01    9.9963499209e-01
         3   -1.9669045213e+01    2.0980632947e-01    8.2159207005e+03    8.2160000000e+03    2.5000000000e-01   -1.9675643130e+01    9.9230460445e-01    9.9975657254e-01
         4   -1.9663585014e+01    2.6350521840e-01    8.2159071985e+03    8.2160000000e+03    5.0000000000e-01   -1.9671970618e+01    9.9120638825e-01    9.9975657254e-01
         5   -1.9655061087e+01    2.8444874350e-01    8.2168823193e+03    8.2170000000e+03    2.5000000000e-01   -1.9666632125e+01    9.9071456449e-01    9.9975660217e-01
         6   -1.9641537729e+01    3.2071610610e-01    8.2178379286e+03    8.2180000000e+03    5.0000000000e-01   -1.9658229890e+01    9.9077923065e-01    9.9951326357e-01
         7   -1.9628143652e+01    3.0923533736e-01    8.2148442617e+03    8.2150000000e+03    2.5000000000e-01   -1.9644341412e+01    9.8904445814e-01    9.9963481436e-01
         8   -1.9620743501e+01    3.3737672325e-01    8.2178926753e+03    8.2180000000e+03    5.0000000000e-01   -1.9631312454e+01    9.8797403207e-01    9.9987831589e-01
         9   -1.9614800178e+01    3.5935757290e-01    8.2198945414e+03    8.2200000000e+03    7.5000000000e-01   -1.9624155642e+01    9.9042220344e-01    1.0000000000e+00
        10   -1.9607971629e+01    3.6319815072e-01    8.2238779251e+03    8.2240000000e+03    2.5000000000e-01   -1.9618698819e+01    9.9062349229e-01    9.9951361868e-01
        11   -1.9597440404e+01    3.8594751385e-01    8.2248540421e+03    8.2250000000e+03    1.0000000000e+00   -1.9611991857e+01    9.8995259997e-01    9.9975683891e-01
        12   -1.9592557742e+01    3.7165225716e-01    8.2258906827e+03    8.2260000000e+03    5.0000000000e-01   -1.9601582206e+01    9.8801467320e-01    1.0000000000e+00
        13   -1.9590992346e+01    4.2461928938e-01    8.2309073679e+03    8.2310000000e+03    5.0000000000e-01   -1.9597307187e+01    9.9232909402e-01    9.9951403232e-01
        14   -1.9591707873e+01    5.3582143459e-01    8.2309268206e+03    8.2310000000e+03    5.0000000000e-01   -1.9595741792e+01    9.8976480662e-01    9.9975701616e-01
        15   -1.9589080938e+01    5.8147917531e-01    8.2328948514e+03    8.2330000000e+03    2.5000000000e-01   -1.9596700273e+01    9.8986690810e-01    9.9975707519e-01
        16   -1.9574451274e+01    4.6395093955e-01    8.2357915326e+03    8.2360000000e+03    7.5000000000e-01   -1.9594437658e+01    9.9054565570e-01    9.9963574551e-01
        17   -1.9577475300e+01    5.3464318712e-01    8.2359367766e+03    8.2360000000e+03    2.5000000000e-01   -1.9579807995e+01    9.9035399056e-01    9.9939290918e-01
        18   -1.9574262241e+01    6.8169791310e-01    8.2328933474e+03    8.2330000000e+03    5.0000000000e-01   -1.9582467700e+01    9.8896485514e-01    9.9975707519e-01
        19   -1.9564917760e+01    4.8140295884e-01    8.2358409549e+03    8.2360000000e+03    5.0000000000e-01   -1.9579618962e+01    9.9007799365e-01    9.9951432734e-01
        20   -1.9562731238e+01    4.9414134203e-01    8.2318977857e+03    8.2320000000e+03    2.5000000000e-01   -1.9569788690e+01    9.9017461517e-01    9.9975704568e-01
        21   -1.9559748489e+01    5.0511783182e-01    8.2328887393e+03    8.2330000000e+03    2.5000000000e-01   -1.9567723638e+01    9.8902437400e-01    9.9951415037e-01
        22   -1.9564610567e+01    5.0793959240e-01    8.2319595524e+03    8.2320000000e+03    5.0000000000e-01   -1.9564619419e+01    9.9173790837e-01    9.9963556851e-01
        23   -1.9563724494e+01    5.6607661787e-01    8.2329091207e+03    8.2330000000e+03    5.0000000000e-01   -1.9569602967e+01    9.9227826939e-01    9.9951415037e-01
