#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9895595441e+01    3.9620494901e+02   -3.4514844198e+01    1.4619248757e+01    2.2786672933e+01    1.2053075198e+01   -7.1947501727e+01    2.5929093972e+00    1.0240000000e+03    3.7409529090e-02    4.3881835938e-01
         1   -1.9863553819e+01    3.9488631127e+02   -3.4109753965e+01    1.4246200146e+01    2.3095534958e+01    1.2053075198e+01   -7.1999547677e+01    2.7411835556e+00    1.0240000000e+03    3.7452235818e-02    4.3702148437e-01
         2   -1.9878229737e+01    3.9545897128e+02   -3.4117728006e+01    1.4239498268e+01    2.2923280030e+01    1.2053075198e+01   -7.2111867982e+01    3.0177847473e+00    1.0240000000e+03    3.7269257009e-02    4.3802734375e-01
         3   -1.9890795290e+01    3.9630874823e+02   -3.4294970542e+01    1.4404175252e+01    2.2899629551e+01    1.2053075198e+01   -7.1862864343e+01    2.6151890521e+00    1.0240000000e+03    3.7325426936e-02    4.3594726562e-01
         4   -1.9855022644e+01    3.9454670741e+02   -3.3805098797e+01    1.3950076153e+01    2.2620818336e+01    1.2053075198e+01   -7.1212682690e+01    2.7336903583e+00    1.0240000000e+03    3.7136055529e-02    4.3535156250e-01
         5   -1.9913456417e+01    3.9691038156e+02   -3.3944903179e+01    1.4031446762e+01    2.2837316091e+01    1.2053075198e+01   -7.1732926007e+01    2.8976315391e+00    1.0240000000e+03    3.7287585437e-02    4.3588867188e-01
         6   -1.9903731456e+01    3.9653440969e+02   -3.4150281263e+01    1.4246549807e+01    2.2864454804e+01    1.2053075198e+01   -7.2088589350e+01    3.0207780839e+00    1.0240000000e+03    3.7427760661e-02    4.3648437500e-01
         7   -1.9894900530e+01    3.9610179332e+02   -3.4322586735e+01    1.4427686205e+01    2.2914809445e+01    1.2053075198e+01   -7.2072777991e+01    2.7823066127e+00    1.0240000000e+03    3.7290208042e-02    4.3680664062e-01
         8   -1.9893478721e+01    3.9615935643e+02   -3.4274353680e+01    1.4380874959e+01    2.2824847245e+01    1.2053075198e+01   -7.1847125630e+01    2.6948495060e+00    1.0240000000e+03    3.7331946194e-02    4.3774414062e-01
         9   -1.9865855506e+01    3.9498075248e+02   -3.3947142663e+01    1.4081287157e+01    2.2797105726e+01    1.2053075198e+01   -7.1397427000e+01    2.6001034129e+00    1.0240000000e+03    3.7296473980e-02    4.3593750000e-01
        10   -1.9866127683e+01    3.9502860189e+02   -3.4161415251e+01    1.4295287568e+01    2.2809855514e+01    1.2053075198e+01   -7.1785356506e+01    2.7610105436e+00    1.0240000000e+03    3.7206232548e-02    4.3443359375e-01
        11   -1.9882176824e+01    3.9561933074e+02   -3.3590717469e+01    1.3708540645e+01    2.2749148072e+01    1.2053075198e+01   -7.1117337764e+01    2.7243970249e+00    1.0240000000e+03    3.7209905684e-02    4.3923828125e-01
        12   -1.9869369530e+01    3.9510424003e+02   -3.4422720003e+01    1.4553350473e+01    2.2837586517e+01    1.2053075198e+01   -7.2069281566e+01    2.7558998479e+00    1.0240000000e+03    3.7301182747e-02    4.3722656250e-01
        13   -1.9922278777e+01    3.9729159978e+02   -3.4175658735e+01    1.4253379958e+01    2.2785340068e+01    1.2053075198e+01   -7.1402637881e+01    2.3885638791e+00    1.0240000000e+03    3.7238329649e-02    4.3564453125e-01
        14   -1.9891483803e+01    3.9597381533e+02   -3.4172150609e+01    1.4280666806e+01    2.2723232900e+01    1.2053075198e+01   -7.1465398113e+01    2.5169394052e+00    1.0240000000e+03    3.7315204740e-02    4.3532226562e-01
        15   -1.9916079847e+01    3.9693316120e+02   -3.3857688501e+01    1.3941608655e+01    2.2694963240e+01    1.2053075198e+01   -7.1227019797e+01    2.6212928567e+00    1.0240000000e+03    3.7210248411e-02    4.3747070313e-01
        16   -1.9921933809e+01    3.9725495687e+02   -3.3935716522e+01    1.4013782713e+01    2.2676874362e+01    1.2053075198e+01   -7.1236439386e+01    2.5707733035e+00    1.0240000000e+03    3.7279337645e-02    4.3693359375e-01
        17   -1.9895356253e+01    3.9614621788e+02   -3.4233077615e+01    1.4337721361e+01    2.2837593925e+01    1.2053075198e+01   -7.1793718312e+01    2.6699715750e+00    1.0240000000e+03    3.7392519414e-02    4.3541992187e-01
        18   -1.9861451388e+01    3.9475803576e+02   -3.4127209644e+01    1.4265758256e+01    2.2920536835e+01    1.2053075198e+01   -7.1752296993e+01    2.6514753158e+00    1.0240000000e+03    3.7280522287e-02    4.3778320312e-01
